id,senator_party,condition,pid7,pre_sexism_1,pre_sexism_2,pre_sexism_3,pre_sexism_4,pre_favorability,pre_vote,gender,age,newsinterest,post_favorability,post_vote,punishment_1,punishment_2,punishment_3,punishment_4,punishment_5,post_sexism_1,post_sexism_2,post_sexism_3,post_sexism_4
11,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,5,5,Man,25-34,Most of the time,5,5,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
12,Republican,1,Not very strong Democrat,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat,3,2,Man,25-34,Only now and then,1,1,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
13,Republican,1,Independent,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,6,Man,25-34,Most of the time,6,6,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat
14,Republican,1,Not very strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,8,8,Man,35-44,Most of the time,9,9,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
15,Republican,3,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,8,6,Man,25-34,Only now and then,8,6,,,,,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat
16,Democrat,3,Strong Democrat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,5,6,Man,65 or over,Some of the time,4,6,,,,,,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
17,Republican,3,Independent,Disagree somewhat,Agree somewhat,Agree strongly,Disagree somewhat,10,10,Man,25-34,Some of the time,10,10,,,,,,Disagree somewhat,Agree somewhat,Agree strongly,Disagree somewhat
18,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Man,18-24,Some of the time,1,2,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
19,Democrat,3,Not very strong Republican,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,8,2,Man,35-44,Some of the time,7,3,,,,,,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
20,Democrat,2,Strong Democrat,Agree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,5,3,Man,25-34,Some of the time,4,1,Disagree somewhat,Agree somewhat,Agree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree somewhat
21,Democrat,3,Not very strong Republican,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat,7,6,Man,25-34,Most of the time,7,6,,,,,,Agree somewhat,Agree strongly,Disagree strongly,Disagree somewhat
22,Republican,3,Independent,Disagree strongly,Disagree somewhat,Agree strongly,Agree somewhat,7,7,Woman,25-34,Some of the time,8,8,,,,,,Disagree strongly,Disagree somewhat,Agree strongly,Agree somewhat
23,Republican,3,Independent,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,5,7,Man,25-34,Most of the time,6,6,,,,,,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
24,Democrat,3,Lean Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,6,7,Woman,25-34,Only now and then,7,7,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
25,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,5,Woman,25-34,Most of the time,0,0,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
26,Democrat,1,Independent,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,9,8,Woman,45-54,Only now and then,7,7,Agree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
27,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,4,0,Man,35-44,Most of the time,0,0,Disagree strongly,Agree strongly,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
28,Republican,2,Lean Democrat,Neither disagree nor agree,Agree somewhat,Agree strongly,Disagree somewhat,9,7,Man,18-24,Some of the time,1,0,Disagree strongly,Agree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Agree strongly,Disagree somewhat
29,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Man,25-34,Most of the time,8,8,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
30,Republican,2,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,5,5,Man,25-34,Some of the time,5,5,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
31,Democrat,3,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Woman,25-34,Most of the time,8,8,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
32,Democrat,1,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,6,5,Woman,25-34,Some of the time,4,3,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
33,Republican,2,Not very strong Democrat,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,7,4,Man,18-24,Some of the time,0,0,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
34,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat,8,9,Woman,55-64,Most of the time,8,9,,,,,,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree somewhat
35,Democrat,3,Strong Democrat,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,10,10,Woman,25-34,Only now and then,10,10,,,,,,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree somewhat
36,Democrat,1,Strong Republican,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly,3,0,Man,25-34,Most of the time,0,0,Neither disagree nor agree,Agree strongly,Agree strongly,Agree strongly,Agree somewhat,Disagree strongly,Disagree somewhat,Agree strongly,Disagree strongly
37,Republican,3,Lean Republican,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,7,7,Man,35-44,Most of the time,5,3,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
38,Democrat,2,Independent,Agree somewhat,Agree somewhat,Neither disagree nor agree,Agree somewhat,8,6,Woman,45-54,Only now and then,4,3,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
39,Democrat,1,Independent,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,8,5,Man,25-34,Most of the time,4,3,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
40,Democrat,3,Independent,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree,5,0,Man,35-44,Most of the time,5,0,,,,,,Disagree somewhat,Disagree somewhat,Agree somewhat,Neither disagree nor agree
41,Republican,3,Strong Republican,Agree somewhat,Agree strongly,Disagree somewhat,Agree strongly,9,9,Man,25-34,Most of the time,8,9,,,,,,Agree somewhat,Agree somewhat,Disagree somewhat,Agree strongly
42,Republican,3,Lean Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,9,Man,18-24,Some of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
43,Republican,3,Not very strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat,8,4,Woman,25-34,Some of the time,8,2,,,,,,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat
44,Republican,3,Strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly,3,1,Man,45-54,Most of the time,3,1,,,,,,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly
45,Republican,3,Not very strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,5,3,Man,35-44,Most of the time,5,3,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
46,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Woman,18-24,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
47,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,4,Woman,35-44,Most of the time,5,4,Agree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
48,Republican,3,Strong Democrat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,9,Man,25-34,Some of the time,9,8,,,,,,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree
49,Republican,3,Not very strong Democrat,Agree strongly,Agree somewhat,Disagree somewhat,Neither disagree nor agree,2,5,Man,35-44,Some of the time,3,6,,,,,,Agree strongly,Neither disagree nor agree,Disagree somewhat,Agree somewhat
50,Republican,1,Independent,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree somewhat,9,9,Man,25-34,Only now and then,8,7,Agree strongly,Disagree strongly,Agree somewhat,Disagree somewhat,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat
51,Democrat,2,Lean Democrat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree strongly,7,6,Woman,25-34,Some of the time,4,5,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
52,Democrat,2,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,45-54,Some of the time,2,0,Disagree strongly,Neither disagree nor agree,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
53,Democrat,3,Independent,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,10,10,Woman,25-34,Some of the time,10,10,,,,,,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree
54,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,7,Woman,25-34,Some of the time,2,2,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
55,Republican,3,Strong Democrat,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree strongly,8,3,Woman,25-34,Only now and then,3,8,,,,,,Disagree strongly,Disagree somewhat,Disagree somewhat,Disagree somewhat
56,Republican,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,0,Woman,25-34,Most of the time,5,0,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
57,Democrat,1,Not very strong Democrat,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,10,10,Man,35-44,Hardly at all,10,10,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree
58,Republican,3,Not very strong Republican,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat,8,8,Woman,55-64,Some of the time,9,9,,,,,,Neither disagree nor agree,Agree somewhat,Agree somewhat,Disagree somewhat
59,Democrat,3,Not very strong Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,7,5,Woman,35-44,Some of the time,5,5,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
60,Democrat,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,8,8,Woman,18-24,Most of the time,7,8,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
61,Republican,1,Lean Democrat,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly,1,1,Woman,18-24,Most of the time,0,0,Disagree somewhat,Agree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree somewhat,Disagree strongly
62,Republican,2,Strong Republican,Agree strongly,Agree strongly,Agree strongly,Agree strongly,5,5,Man,18-24,Some of the time,5,6,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly,Agree strongly
63,Democrat,2,Not very strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,5,5,Man,35-44,Some of the time,0,0,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
64,Democrat,3,Strong Republican,Agree somewhat,Agree somewhat,Disagree somewhat,Agree somewhat,5,0,Man,65 or over,Hardly at all,1,0,,,,,,Agree somewhat,Agree somewhat,Disagree somewhat,Neither disagree nor agree
65,Republican,3,Independent,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,7,5,Woman,25-34,Only now and then,9,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
66,Democrat,1,Strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree somewhat,9,9,Man,25-34,Most of the time,7,9,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree strongly
67,Democrat,2,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Agree somewhat,6,3,Man,55-64,Most of the time,6,3,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Agree strongly,Agree somewhat
68,Democrat,3,Lean Democrat,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat,7,7,Woman,65 or over,Most of the time,7,7,,,,,,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
69,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Man,55-64,Most of the time,9,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
70,Democrat,3,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,55-64,Hardly at all,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
71,Republican,2,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,6,6,Woman,35-44,Most of the time,1,1,Agree somewhat,Neither disagree nor agree,Disagree strongly,Agree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
72,Republican,2,Independent,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,5,Man,55-64,Hardly at all,5,5,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
73,Republican,1,Not very strong Republican,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,7,7,Man,25-34,Only now and then,6,6,Agree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
74,Republican,3,Not very strong Democrat,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,7,1,Woman,18-24,Some of the time,8,2,,,,,,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly
75,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Woman,25-34,Some of the time,0,0,Disagree strongly,Agree strongly,Agree strongly,Agree strongly,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
76,Democrat,3,Independent,Disagree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree,10,10,Man,25-34,Most of the time,10,10,,,,,,Disagree somewhat,Agree somewhat,Agree strongly,Neither disagree nor agree
77,Democrat,2,Independent,Agree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,6,8,Woman,25-34,Some of the time,4,3,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat
78,Democrat,2,Lean Democrat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,9,9,Man,25-34,Some of the time,8,7,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree
79,Democrat,3,Independent,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,9,9,Man,25-34,Some of the time,9,9,,,,,,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Agree somewhat
80,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,8,Man,25-34,Most of the time,0,0,Disagree somewhat,Agree strongly,Disagree strongly,Agree somewhat,Agree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
81,Democrat,2,Lean Republican,Disagree somewhat,Agree somewhat,Neither disagree nor agree,Disagree somewhat,8,8,Woman,35-44,Most of the time,7,7,Agree somewhat,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree somewhat,Agree somewhat,Agree somewhat,Disagree somewhat,Disagree somewhat
82,Democrat,3,Independent,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat,6,5,Man,18-24,Some of the time,6,5,,,,,,Neither disagree nor agree,Neither disagree nor agree,Disagree somewhat,Agree somewhat
83,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Man,35-44,Most of the time,9,9,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
84,Republican,1,Strong Republican,Agree somewhat,Agree somewhat,Agree somewhat,Neither disagree nor agree,9,9,Woman,35-44,Some of the time,7,3,Agree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
85,Republican,2,Lean Democrat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree somewhat,8,9,Woman,25-34,Most of the time,5,3,Disagree strongly,Agree somewhat,Agree strongly,Agree somewhat,Agree strongly,Neither disagree nor agree,Disagree somewhat,Agree somewhat,Disagree strongly
86,Republican,1,Lean Republican,Disagree somewhat,Agree somewhat,Agree somewhat,Agree somewhat,8,8,Woman,45-54,Only now and then,7,8,Agree strongly,Disagree somewhat,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree somewhat,Agree somewhat
87,Republican,1,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,5,0,Woman,55-64,Most of the time,0,0,Disagree strongly,Neither disagree nor agree,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
88,Democrat,2,Lean Republican,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat,8,7,Woman,35-44,Some of the time,7,7,Agree strongly,Disagree somewhat,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Agree somewhat,Disagree somewhat
89,Democrat,2,Not very strong Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,1,0,Man,35-44,Most of the time,1,0,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
90,Republican,1,Not very strong Democrat,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat,7,3,Man,45-54,Most of the time,7,3,Agree strongly,Neither disagree nor agree,Agree strongly,Disagree strongly,Neither disagree nor agree,Agree somewhat,Agree somewhat,Agree strongly,Agree somewhat
91,Democrat,2,Lean Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,25-34,Most of the time,6,6,Disagree somewhat,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
92,Democrat,3,Strong Democrat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,10,10,Woman,45-54,Most of the time,10,10,,,,,,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
93,Democrat,3,Strong Democrat,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly,9,9,Woman,35-44,Most of the time,9,9,,,,,,Disagree somewhat,Disagree strongly,Agree strongly,Disagree strongly
94,Democrat,3,Independent,Neither disagree nor agree,Agree somewhat,Agree somewhat,Neither disagree nor agree,6,8,Woman,25-34,Some of the time,6,7,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
95,Republican,2,Strong Democrat,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly,5,5,Woman,25-34,Hardly at all,3,3,Disagree strongly,Agree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Disagree strongly
96,Democrat,2,Strong Democrat,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly,10,10,Man,35-44,Most of the time,5,5,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Disagree strongly,Disagree strongly,Disagree strongly
97,Democrat,1,Lean Republican,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly,7,8,Woman,55-64,Some of the time,7,8,Disagree somewhat,Agree somewhat,Disagree somewhat,Disagree strongly,Agree somewhat,Disagree strongly,Disagree strongly,Agree strongly,Disagree strongly
98,Democrat,1,Lean Republican,Agree somewhat,Agree strongly,Agree strongly,Agree strongly,4,0,Man,35-44,Most of the time,3,0,Agree strongly,Disagree strongly,Agree strongly,Disagree strongly,Disagree strongly,Agree somewhat,Agree strongly,Agree strongly,Agree strongly
99,Republican,1,Independent,Disagree strongly,Disagree somewhat,Agree strongly,Neither disagree nor agree,5,5,Man,18-24,Most of the time,5,5,Agree strongly,Disagree strongly,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Neither disagree nor agree,Disagree strongly,Agree strongly,Neither disagree nor agree
100,Republican,2,Not very strong Democrat,Disagree somewhat,Neither disagree nor agree,Agree strongly,Disagree somewhat,6,4,Man,35-44,Most of the time,2,0,Disagree strongly,Neither disagree nor agree,Disagree strongly,Neither disagree nor agree,Disagree strongly,Disagree somewhat,Disagree somewhat,Agree strongly,Disagree somewhat
101,Democrat,3,Lean Republican,Disagree somewhat,Neither disagree nor agree,Agree somewhat,Neither disagree nor agree,5,5,Man,45-54,Most of the time,5,5,,,,,,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Neither disagree nor agree
102,Republican,3,Not very strong Democrat,Disagree somewhat,Disagree strongly,Neither disagree nor agree,Disagree strongly,7,5,Man,25-34,Hardly at all,7,5,,,,,,Disagree strongly,Disagree strongly,Neither disagree nor agree,Disagree strongly
103,Democrat,3,Strong Republican,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree,7,2,Man,55-64,Most of the time,7,2,,,,,,Agree somewhat,Agree somewhat,Neither disagree nor agree,Neither disagree nor agree
104,Democrat,1,Not very strong Republican,Disagree somewhat,Disagree somewhat,Neither disagree nor agree,Disagree somewhat,6,3,Man,35-44,Some of the time,6,3,Agree somewhat,Disagree strongly,Neither disagree nor agree,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat,Disagree somewhat
